Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;Bal. Strategy;Features;Folds;Hyper Params.;Model
LogisticRegression;0.1429;0.0794;0.1429;0.0963;0.4;0.16;0.4;0.2286;0.8333;0.75;0.8333;0.7778;not-balanced;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'C': 0.1, 'penalty': 'l2', 'random_state': 295, 'solver': 'lbfgs'};"LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=295)"
RandomForestClassifier;0.3083;0.2389;0.3083;0.2194;0.25;0.1875;0.25;0.2083;0.8333;0.7083;0.8333;0.7619;not-balanced;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'n_estimators': 20, 'random_state': 460};RandomForestClassifier(n_estimators=20, random_state=460)
DecisionTreeClassifier;0.2063;0.1627;0.2063;0.1711;0.1818;0.0682;0.1818;0.0992;0.6667;0.5417;0.6667;0.5952;not-balanced;['polarity_mean', 'O', 'C', 'E', 'A', 'N'];3;{'max_depth': 3, 'min_samples_leaf': 5, 'random_state': 393};DecisionTreeClassifier(max_depth=3, min_samples_leaf=5, random_state=393)
RandomForestClassifier;0.33;0.27;0.33;0.2406;0.2857;0.2143;0.2857;0.2381;0.5;0.6667;0.5;0.5667;not-balanced;['polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];5;{'n_estimators': 5, 'random_state': 923};RandomForestClassifier(n_estimators=5, random_state=923)
LogisticRegression;0.36;0.3133;0.36;0.237;0.1667;0.0833;0.1667;0.1111;0.6667;0.4667;0.6667;0.5417;not-balanced;['polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];5;{'C': 0.1, 'penalty': 'l2', 'random_state': 472, 'solver': 'lbfgs'};"LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=472)"
DecisionTreeClassifier;0.1905;0.0873;0.1905;0.1333;0.2;0.14;0.2;0.1571;0.6667;0.4667;0.6667;0.5417;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'max_depth': 3, 'min_samples_leaf': 5, 'random_state': 653};DecisionTreeClassifier(max_depth=3, min_samples_leaf=5, random_state=653)
SVC;0.4333;0.3292;0.4333;0.3036;0.125;0.0625;0.125;0.0833;0.6667;0.4667;0.6667;0.5417;not-balanced;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'C': 1, 'kernel': 'linear', 'random_state': 487};SVC(C=1, kernel='linear', random_state=487)
RandomForestClassifier;0.16;0.1267;0.16;0.0827;0.5;0.3333;0.5;0.3889;0.6667;0.4667;0.6667;0.5417;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'n_estimators': 20, 'random_state': 3};RandomForestClassifier(n_estimators=20, random_state=3)
RandomForestClassifier;0.2857;0.3333;0.2857;0.2222;0.2;0.1333;0.2;0.15;0.6667;0.4667;0.6667;0.5417;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'n_estimators': 5, 'random_state': 189};RandomForestClassifier(n_estimators=5, random_state=189)
RandomForestClassifier;0.2083;0.1875;0.2083;0.1694;0.4286;0.2429;0.4286;0.3095;0.6667;0.4667;0.6667;0.5417;not-balanced;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'n_estimators': 5, 'random_state': 38};RandomForestClassifier(n_estimators=5, random_state=38)
LogisticRegression;0.1667;0.1528;0.1667;0.145;0.4286;0.3333;0.4286;0.3381;0.6667;0.4583;0.6667;0.5397;not-balanced;['polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];4;{'C': 0.1, 'penalty': 'l2', 'random_state': 432, 'solver': 'lbfgs'};"LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=432)"
LogisticRegression;0.24;0.1367;0.24;0.1213;0.3333;0.1944;0.3333;0.2444;0.6667;0.4583;0.6667;0.5397;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'C': 0.1, 'penalty': 'l2', 'random_state': 155, 'solver': 'lbfgs'};"LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=155)"
LogisticRegression;0.3833;0.3319;0.3833;0.2992;0.25;0.4375;0.25;0.2708;0.6667;0.4583;0.6667;0.5397;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'C': 10, 'penalty': 'l2', 'random_state': 824, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=824)"
LogisticRegression;0.3333;0.3368;0.3333;0.2153;0.1429;0.1071;0.1429;0.1224;0.6667;0.4583;0.6667;0.5397;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'C': 0.1, 'penalty': 'l2', 'random_state': 837, 'solver': 'lbfgs'};"LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=837)"
LogisticRegression;0.08;0.0533;0.08;0.045;0.5;0.25;0.5;0.3333;0.6667;0.4583;0.6667;0.5397;not-balanced;['polarity_mean', 'O', 'C', 'E', 'A', 'N'];5;{'C': 0.1, 'penalty': 'l2', 'random_state': 993, 'solver': 'lbfgs'};"LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=993)"
LogisticRegression;0.4;0.38;0.4;0.3;0.0;0.0;0.0;0.0;0.6667;0.4583;0.6667;0.5397;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'C': 0.1, 'penalty': 'l2', 'random_state': 227, 'solver': 'lbfgs'};"LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=227)"
LogisticRegression;0.3;0.29;0.3;0.2049;0.2857;0.1286;0.2857;0.1769;0.6667;0.4583;0.6667;0.5397;not-balanced;['polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];5;{'C': 0.1, 'penalty': 'l2', 'random_state': 77, 'solver': 'lbfgs'};"LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=77)"
SVC;0.36;0.2067;0.36;0.2283;0.1667;0.0833;0.1667;0.1111;0.6667;0.4583;0.6667;0.5397;not-balanced;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'C': 0.1, 'kernel': 'linear', 'random_state': 852};SVC(C=0.1, kernel='linear', random_state=852)
KNeighborsClassifier;0.254;0.125;0.254;0.1314;0.3636;0.2;0.3636;0.2576;0.6667;0.4583;0.6667;0.5397;not-balanced;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'metric': 'minkowski', 'n_neighbors': 9, 'weights': 'uniform'};KNeighborsClassifier(n_neighbors=9)
LogisticRegression;0.2857;0.1524;0.2857;0.1489;0.3;0.1357;0.3;0.1867;0.6667;0.4583;0.6667;0.5397;not-balanced;['polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];3;{'C': 0.1, 'penalty': 'l2', 'random_state': 351, 'solver': 'lbfgs'};"LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=351)"
SVC;0.36;0.2533;0.36;0.255;0.5;0.3333;0.5;0.3889;0.6667;0.4583;0.6667;0.5397;not-balanced;['polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];5;{'C': 0.1, 'kernel': 'linear', 'random_state': 822};SVC(C=0.1, kernel='linear', random_state=822)
LogisticRegression;0.2167;0.1271;0.2167;0.1067;0.375;0.2292;0.375;0.2833;0.6667;0.4583;0.6667;0.5397;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'C': 0.1, 'penalty': 'l2', 'random_state': 538, 'solver': 'lbfgs'};"LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=538)"
LogisticRegression;0.25;0.191;0.25;0.185;0.2857;0.0952;0.2857;0.1429;0.6667;0.4583;0.6667;0.5397;not-balanced;['polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];4;{'C': 0.1, 'penalty': 'l2', 'random_state': 647, 'solver': 'lbfgs'};"LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=647)"
LogisticRegression;0.1905;0.127;0.1905;0.1296;0.4;0.2;0.4;0.2667;0.6667;0.4583;0.6667;0.5397;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'C': 0.1, 'penalty': 'l2', 'random_state': 295, 'solver': 'lbfgs'};"LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=295)"
LogisticRegression;0.1667;0.075;0.1667;0.0736;0.25;0.3333;0.25;0.2667;0.6667;0.4583;0.6667;0.5397;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'C': 10, 'penalty': 'l2', 'random_state': 538, 'solver': 'lbfgs'};"LogisticRegression(C=10, max_iter=100000, multi_class='multinomial',
                   random_state=538)"
RandomForestClassifier;0.22;0.1567;0.22;0.106;0.2857;0.2;0.2857;0.2245;0.5;0.5;0.5;0.5;not-balanced;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'n_estimators': 5, 'random_state': 603};RandomForestClassifier(n_estimators=5, random_state=603)
RandomForestClassifier;0.21;0.2;0.21;0.126;0.1429;0.0714;0.1429;0.0952;0.5;0.5;0.5;0.5;not-balanced;['polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];5;{'n_estimators': 10, 'random_state': 934};RandomForestClassifier(n_estimators=10, random_state=934)
RandomForestClassifier;0.3833;0.3069;0.3833;0.2686;0.25;0.2083;0.25;0.225;0.5;0.5556;0.5;0.4833;not-balanced;['polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];4;{'n_estimators': 20, 'random_state': 440};RandomForestClassifier(n_estimators=20, random_state=440)
RandomForestClassifier;0.28;0.2133;0.28;0.1603;0.3333;0.25;0.3333;0.2778;0.5;0.5556;0.5;0.4722;not-balanced;['polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];5;{'n_estimators': 5, 'random_state': 129};RandomForestClassifier(n_estimators=5, random_state=129)
MLPClassifier;0.36;0.44;0.36;0.2672;0.0;0.0;0.0;0.0;0.5;0.5417;0.5;0.4667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'max_iter': 100000, 'random_state': 953, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=953)
SVC;0.2857;0.254;0.2857;0.1778;0.3;0.375;0.3;0.319;0.5;0.5278;0.5;0.4667;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'C': 1, 'kernel': 'linear', 'random_state': 995};SVC(C=1, kernel='linear', random_state=995)
LogisticRegression;0.09;0.0433;0.09;0.0427;0.2857;0.0816;0.2857;0.127;0.5;0.4167;0.5;0.4444;not-balanced;['polarity', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'C': 0.1, 'penalty': 'l2', 'random_state': 549, 'solver': 'lbfgs'};"LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=549)"
LogisticRegression;0.28;0.2533;0.28;0.2022;0.3333;0.2778;0.3333;0.3;0.5;0.4167;0.5;0.4444;not-balanced;['polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];5;{'C': 0.1, 'penalty': 'l2', 'random_state': 728, 'solver': 'lbfgs'};"LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=728)"
RandomForestClassifier;0.3333;0.3016;0.3333;0.2222;0.2;0.24;0.2;0.1905;0.5;0.4167;0.5;0.4444;not-balanced;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'n_estimators': 5, 'random_state': 742};RandomForestClassifier(n_estimators=5, random_state=742)
DecisionTreeClassifier;0.2;0.1867;0.2;0.1383;0.1667;0.0556;0.1667;0.0833;0.5;0.4167;0.5;0.4444;not-balanced;['polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];5;{'max_depth': 3, 'min_samples_leaf': 5, 'random_state': 722};DecisionTreeClassifier(max_depth=3, min_samples_leaf=5, random_state=722)
RandomForestClassifier;0.1984;0.1323;0.1984;0.16;0.2727;0.2;0.2727;0.2273;0.5;0.375;0.5;0.4286;not-balanced;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'n_estimators': 10, 'random_state': 760};RandomForestClassifier(n_estimators=10, random_state=760)
MLPClassifier;0.2381;0.254;0.2381;0.1556;0.3;0.175;0.3;0.2157;0.5;0.375;0.5;0.4286;not-balanced;['polarity', 'stress', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'max_iter': 100000, 'random_state': 505, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=505)
LogisticRegression;0.2381;0.1452;0.2381;0.1343;0.3;0.1524;0.3;0.2;0.5;0.375;0.5;0.4286;not-balanced;['polarity', 'stress', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'C': 0.1, 'penalty': 'l2', 'random_state': 64, 'solver': 'lbfgs'};"LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=64)"
SVC;0.3333;0.2048;0.3333;0.1677;0.3;0.2233;0.3;0.2381;0.5;0.375;0.5;0.4286;not-balanced;['polarity', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'C': 0.1, 'kernel': 'linear', 'random_state': 928};SVC(C=0.1, kernel='linear', random_state=928)
MLPClassifier;0.2083;0.125;0.2083;0.1214;0.375;0.3333;0.375;0.2917;0.5;0.375;0.5;0.4286;not-balanced;['polarity', 'stress', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'max_iter': 100000, 'random_state': 901, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=901)
KNeighborsClassifier;0.36;0.2813;0.36;0.2356;0.5;0.25;0.5;0.3333;0.5;0.375;0.5;0.4286;not-balanced;['polarity', 'stress', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'metric': 'minkowski', 'n_neighbors': 13, 'weights': 'uniform'};KNeighborsClassifier(n_neighbors=13)
SVC;0.2381;0.1413;0.2381;0.1159;0.3;0.2;0.3;0.2333;0.5;0.375;0.5;0.4286;not-balanced;['polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];3;{'C': 0.1, 'kernel': 'linear', 'random_state': 870};SVC(C=0.1, kernel='linear', random_state=870)
SVC;0.3833;0.2778;0.3833;0.2854;0.25;0.1458;0.25;0.1833;0.5;0.375;0.5;0.4286;not-balanced;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'C': 0.1, 'kernel': 'linear', 'random_state': 946};SVC(C=0.1, kernel='linear', random_state=946)
KNeighborsClassifier;0.3417;0.2917;0.3417;0.1972;0.25;0.175;0.25;0.1964;0.5;0.375;0.5;0.4286;not-balanced;['polarity', 'O', 'C', 'E', 'A', 'N'];4;{'metric': 'minkowski', 'n_neighbors': 11, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=11, weights='distance')
LogisticRegression;0.475;0.4431;0.475;0.3483;0.125;0.05;0.125;0.0714;0.5;0.375;0.5;0.4286;not-balanced;['polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];4;{'C': 1, 'penalty': 'l2', 'random_state': 432, 'solver': 'lbfgs'};"LogisticRegression(C=1, max_iter=100000, multi_class='multinomial',
                   random_state=432)"
SVC;0.32;0.1587;0.32;0.1386;0.3333;0.2083;0.3333;0.2333;0.5;0.375;0.5;0.4286;not-balanced;['polarity', 'O', 'C', 'E', 'A', 'N'];5;{'C': 0.1, 'kernel': 'linear', 'random_state': 827};SVC(C=0.1, kernel='linear', random_state=827)
KNeighborsClassifier;0.254;0.1217;0.254;0.1392;0.3636;0.1851;0.3636;0.2416;0.5;0.375;0.5;0.4286;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'metric': 'minkowski', 'n_neighbors': 13, 'weights': 'uniform'};KNeighborsClassifier(n_neighbors=13)
KNeighborsClassifier;0.2937;0.1997;0.2937;0.1467;0.1818;0.0606;0.1818;0.0909;0.5;0.375;0.5;0.4286;not-balanced;['polarity', 'O', 'C', 'E', 'A', 'N'];3;{'metric': 'minkowski', 'n_neighbors': 13, 'weights': 'uniform'};KNeighborsClassifier(n_neighbors=13)
KNeighborsClassifier;0.1429;0.0794;0.1429;0.0896;0.3;0.25;0.3;0.2133;0.5;0.375;0.5;0.4286;not-balanced;['polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];3;{'metric': 'minkowski', 'n_neighbors': 13, 'weights': 'uniform'};KNeighborsClassifier(n_neighbors=13)
MLPClassifier;0.2857;0.1667;0.2857;0.2111;0.1;0.2;0.1;0.1333;0.5;0.375;0.5;0.4286;not-balanced;['polarity', 'stress', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'max_iter': 100000, 'random_state': 217, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=217)
KNeighborsClassifier;0.4;0.2867;0.4;0.2933;0.3333;0.3667;0.3333;0.2778;0.5;0.375;0.5;0.4286;not-balanced;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'metric': 'minkowski', 'n_neighbors': 15, 'weights': 'uniform'};KNeighborsClassifier(n_neighbors=15)
KNeighborsClassifier;0.3917;0.2924;0.3917;0.2567;0.25;0.1667;0.25;0.1875;0.5;0.375;0.5;0.4286;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'metric': 'minkowski', 'n_neighbors': 15, 'weights': 'uniform'};KNeighborsClassifier(n_neighbors=15)
LogisticRegression;0.16;0.0933;0.16;0.105;0.3333;0.1111;0.3333;0.1667;0.5;0.375;0.5;0.4286;not-balanced;['polarity', 'stress', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'C': 0.1, 'penalty': 'l2', 'random_state': 27, 'solver': 'lbfgs'};"LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=27)"
KNeighborsClassifier;0.3583;0.2521;0.3583;0.2178;0.375;0.2083;0.375;0.25;0.5;0.375;0.5;0.4286;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'metric': 'minkowski', 'n_neighbors': 15, 'weights': 'uniform'};KNeighborsClassifier(n_neighbors=15)
KNeighborsClassifier;0.3;0.1653;0.3;0.1583;0.25;0.1667;0.25;0.1875;0.5;0.375;0.5;0.4286;not-balanced;['polarity_mean', 'O', 'C', 'E', 'A', 'N'];4;{'metric': 'minkowski', 'n_neighbors': 15, 'weights': 'uniform'};KNeighborsClassifier(n_neighbors=15)
SVC;0.4762;0.3492;0.4762;0.3621;0.1;0.06;0.1;0.075;0.5;0.375;0.5;0.4286;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'C': 0.1, 'kernel': 'linear', 'random_state': 833};SVC(C=0.1, kernel='linear', random_state=833)
LogisticRegression;0.3917;0.3319;0.3917;0.2533;0.25;0.1333;0.25;0.1714;0.5;0.375;0.5;0.4286;not-balanced;['polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];4;{'C': 0.1, 'penalty': 'l2', 'random_state': 969, 'solver': 'lbfgs'};"LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=969)"
KNeighborsClassifier;0.3413;0.2063;0.3413;0.1616;0.1818;0.0606;0.1818;0.0909;0.5;0.375;0.5;0.4286;not-balanced;['polarity_mean', 'O', 'C', 'E', 'A', 'N'];3;{'metric': 'minkowski', 'n_neighbors': 13, 'weights': 'uniform'};KNeighborsClassifier(n_neighbors=13)
SVC;0.28;0.21;0.28;0.191;0.3333;0.1944;0.3333;0.2444;0.5;0.375;0.5;0.4286;not-balanced;['polarity', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'C': 0.1, 'kernel': 'linear', 'random_state': 666};SVC(C=0.1, kernel='linear', random_state=666)
MLPClassifier;0.36;0.24;0.36;0.2267;0.1667;0.1667;0.1667;0.1667;0.5;0.375;0.5;0.4286;not-balanced;['polarity', 'stress', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'max_iter': 100000, 'random_state': 522, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=522)
KNeighborsClassifier;0.25;0.1667;0.25;0.1452;0.1429;0.0204;0.1429;0.0357;0.5;0.375;0.5;0.4286;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'metric': 'minkowski', 'n_neighbors': 15, 'weights': 'uniform'};KNeighborsClassifier(n_neighbors=15)
LogisticRegression;0.381;0.2857;0.381;0.2741;0.3;0.2333;0.3;0.25;0.5;0.375;0.5;0.4286;not-balanced;['polarity', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'C': 0.1, 'penalty': 'l2', 'random_state': 543, 'solver': 'lbfgs'};"LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=543)"
LogisticRegression;0.2583;0.1514;0.2583;0.1283;0.375;0.2333;0.375;0.2875;0.5;0.375;0.5;0.4286;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'C': 0.1, 'penalty': 'l2', 'random_state': 542, 'solver': 'lbfgs'};"LogisticRegression(C=0.1, max_iter=100000, multi_class='multinomial',
                   random_state=542)"
KNeighborsClassifier;0.3083;0.1771;0.3083;0.1796;0.125;0.0417;0.125;0.0625;0.5;0.375;0.5;0.4286;not-balanced;['polarity', 'O', 'C', 'E', 'A', 'N'];4;{'metric': 'minkowski', 'n_neighbors': 15, 'weights': 'uniform'};KNeighborsClassifier(n_neighbors=15)
KNeighborsClassifier;0.4048;0.2437;0.4048;0.2161;0.3636;0.25;0.3636;0.281;0.5;0.375;0.5;0.4286;not-balanced;['polarity', 'stress', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'metric': 'minkowski', 'n_neighbors': 9, 'weights': 'uniform'};KNeighborsClassifier(n_neighbors=9)
SVC;0.125;0.0417;0.125;0.0452;0.4286;0.4762;0.4286;0.4143;0.5;0.375;0.5;0.4286;not-balanced;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'C': 10, 'kernel': 'linear', 'random_state': 487};SVC(C=10, kernel='linear', random_state=487)
MLPClassifier;0.0;0.0;0.0;0.0;0.3333;0.3889;0.3333;0.3056;0.5;0.375;0.5;0.4286;not-balanced;['polarity', 'O', 'C', 'E', 'A', 'N'];5;{'max_iter': 100000, 'random_state': 94, 'solver': 'adam'};MLPClassifier(max_iter=100000, random_state=94)
RandomForestClassifier;0.0417;0.0417;0.0417;0.0625;0.375;0.2875;0.375;0.2929;0.5;0.3889;0.5;0.4167;not-balanced;['polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];4;{'n_estimators': 5, 'random_state': 208};RandomForestClassifier(n_estimators=5, random_state=208)
RandomForestClassifier;0.3016;0.154;0.3016;0.1873;0.1818;0.1545;0.1818;0.1394;0.5;0.3889;0.5;0.4167;not-balanced;['polarity_mean', 'O', 'C', 'E', 'A', 'N'];3;{'n_estimators': 10, 'random_state': 172};RandomForestClassifier(n_estimators=10, random_state=172)
DecisionTreeClassifier;0.3;0.2472;0.3;0.2525;0.25;0.125;0.25;0.1667;0.5;0.3889;0.5;0.4167;not-balanced;['polarity_mean', 'stress_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'max_depth': 3, 'min_samples_leaf': 5, 'random_state': 13};DecisionTreeClassifier(max_depth=3, min_samples_leaf=5, random_state=13)
DecisionTreeClassifier;0.1905;0.2381;0.1905;0.1944;0.2;0.1;0.2;0.1333;0.5;0.4667;0.5;0.4127;not-balanced;['polarity_mean', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'max_depth': 3, 'min_samples_leaf': 10, 'random_state': 325};DecisionTreeClassifier(max_depth=3, min_samples_leaf=10, random_state=325)
KNeighborsClassifier;0.1984;0.073;0.1984;0.091;0.2727;0.1461;0.2727;0.187;0.5;0.4667;0.5;0.4127;not-balanced;['polarity', 'O', 'C', 'E', 'A', 'N'];3;{'metric': 'manhattan', 'n_neighbors': 15, 'weights': 'uniform'};KNeighborsClassifier(metric='manhattan', n_neighbors=15, p=1)
KNeighborsClassifier;0.1429;0.0794;0.1429;0.0709;0.2;0.0857;0.2;0.12;0.5;0.4667;0.5;0.4127;not-balanced;['polarity', 'O', 'C', 'E', 'A', 'N'];3;{'metric': 'manhattan', 'n_neighbors': 13, 'weights': 'uniform'};KNeighborsClassifier(metric='manhattan', n_neighbors=13, p=1)
DecisionTreeClassifier;0.2857;0.1294;0.2857;0.1359;0.4;0.1952;0.4;0.26;0.5;0.3333;0.5;0.4;not-balanced;['polarity', 'stress', 'O', 'C', 'E', 'A', 'N'];3;{'max_depth': 3, 'min_samples_leaf': 10, 'random_state': 633};DecisionTreeClassifier(max_depth=3, min_samples_leaf=10, random_state=633)
DecisionTreeClassifier;0.1905;0.1905;0.1905;0.1378;0.3;0.19;0.3;0.2238;0.5;0.3333;0.5;0.4;not-balanced;['polarity', 'stress', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];3;{'max_depth': 3, 'min_samples_leaf': 5, 'random_state': 959};DecisionTreeClassifier(max_depth=3, min_samples_leaf=5, random_state=959)
RandomForestClassifier;0.3333;0.2659;0.3333;0.2259;0.3;0.225;0.3;0.24;0.3333;0.5;0.3333;0.4;not-balanced;['polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];3;{'n_estimators': 20, 'random_state': 539};RandomForestClassifier(n_estimators=20, random_state=539)
DecisionTreeClassifier;0.2;0.148;0.2;0.1143;0.1667;0.1111;0.1667;0.1333;0.5;0.3333;0.5;0.4;not-balanced;['polarity', 'stress', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];5;{'max_depth': 3, 'min_samples_leaf': 10, 'random_state': 812};DecisionTreeClassifier(max_depth=3, min_samples_leaf=10, random_state=812)
RandomForestClassifier;0.24;0.2;0.24;0.1289;0.1667;0.0833;0.1667;0.1111;0.3333;0.5;0.3333;0.4;not-balanced;['polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];5;{'n_estimators': 20, 'random_state': 601};RandomForestClassifier(n_estimators=20, random_state=601)
RandomForestClassifier;0.24;0.17;0.24;0.1213;0.5;0.25;0.5;0.3333;0.3333;0.5;0.3333;0.4;not-balanced;['polarity_mean', 'stress_mean', 'O', 'C', 'E', 'A', 'N'];5;{'n_estimators': 20, 'random_state': 923};RandomForestClassifier(n_estimators=20, random_state=923)
DecisionTreeClassifier;0.175;0.1208;0.175;0.0958;0.25;0.125;0.25;0.1667;0.5;0.3333;0.5;0.4;not-balanced;['polarity', 'priority_categories', 'O', 'C', 'E', 'A', 'N'];4;{'max_depth': 3, 'min_samples_leaf': 10, 'random_state': 89};DecisionTreeClassifier(max_depth=3, min_samples_leaf=10, random_state=89)
