Algorithm;Train Accuracy;Train Precision;Train Recall;Train F1 Score;Test Accuracy;Test Precision;Test Recall;Test F1 Score;Val. Accuracy;Val. Precision;Val. Recall;Val. F1 Score;AUC;Bal. Strategy;SMOTE Instances;Scale;Features;Folds;Hyper Params.;Model
KNeighborsClassifier;0.7878;0.7877;0.7878;0.7844;0.7639;0.7714;0.7639;0.7663;0.7833;0.7989;0.7833;0.7828;0.9208;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=7, weights='distance')
KNeighborsClassifier;0.8141;0.8181;0.8141;0.8142;0.7569;0.7596;0.7569;0.757;0.7833;0.7935;0.7833;0.7814;0.9319;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.8117;0.8173;0.8117;0.8107;0.7778;0.7991;0.7778;0.7823;0.7833;0.7935;0.7833;0.7814;0.9311;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.8133;0.8154;0.8133;0.8131;0.7569;0.8004;0.7569;0.7625;0.7667;0.7951;0.7667;0.7695;0.9309;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=7, weights='distance')
KNeighborsClassifier;0.8049;0.8089;0.8049;0.804;0.7917;0.7948;0.7917;0.7925;0.7667;0.7951;0.7667;0.7695;0.9236;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 11, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=11, weights='distance')
KNeighborsClassifier;0.7971;0.8005;0.7971;0.7957;0.7778;0.7997;0.7778;0.7784;0.7667;0.7951;0.7667;0.7695;0.9246;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 13, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=13, weights='distance')
RandomForestClassifier;0.8287;0.8357;0.8287;0.8293;0.8333;0.8339;0.8333;0.8332;0.7667;0.7927;0.7667;0.7684;0.9503;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 231};RandomForestClassifier(n_estimators=20, random_state=231)
RandomForestClassifier;0.8248;0.8329;0.8248;0.8258;0.8611;0.8685;0.8611;0.8627;0.7667;0.7927;0.7667;0.7684;0.9489;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 158};RandomForestClassifier(n_estimators=10, random_state=158)
RandomForestClassifier;0.8311;0.8353;0.8311;0.8317;0.8194;0.8214;0.8194;0.82;0.7667;0.7927;0.7667;0.7684;0.9527;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 231};RandomForestClassifier(n_estimators=20, random_state=231)
RandomForestClassifier;0.8217;0.8261;0.8217;0.8221;0.8681;0.8752;0.8681;0.8694;0.7667;0.7927;0.7667;0.7684;0.9502;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 158};RandomForestClassifier(n_estimators=10, random_state=158)
KNeighborsClassifier;0.7979;0.8019;0.7979;0.7972;0.8125;0.8353;0.8125;0.8121;0.7667;0.7875;0.7667;0.7675;0.9289;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 11, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=11, weights='distance')
DecisionTreeClassifier;0.831;0.8399;0.831;0.8322;0.8403;0.8486;0.8403;0.8411;0.7667;0.8009;0.7667;0.7669;0.9397;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 10, 'random_state': 454};DecisionTreeClassifier(max_depth=10, min_samples_leaf=10, random_state=454)
DecisionTreeClassifier;0.8202;0.8295;0.8202;0.8218;0.7847;0.7857;0.7847;0.7851;0.7667;0.8009;0.7667;0.7669;0.9377;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 10, 'random_state': 950};DecisionTreeClassifier(max_depth=10, min_samples_leaf=10, random_state=950)
RandomForestClassifier;0.8149;0.8207;0.8149;0.8157;0.8958;0.9001;0.8958;0.8966;0.7667;0.781;0.7667;0.7665;0.9473;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 327};RandomForestClassifier(n_estimators=10, random_state=327)
RandomForestClassifier;0.8395;0.8462;0.8395;0.8402;0.7847;0.7951;0.7847;0.785;0.7667;0.781;0.7667;0.7665;0.9552;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 327};RandomForestClassifier(n_estimators=20, random_state=327)
DecisionTreeClassifier;0.8187;0.8286;0.8187;0.8202;0.8125;0.8196;0.8125;0.8128;0.7667;0.781;0.7667;0.7665;0.9407;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 454};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=454)
RandomForestClassifier;0.8202;0.8279;0.8202;0.8217;0.8472;0.8561;0.8472;0.8489;0.7667;0.781;0.7667;0.7665;0.9524;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 20, 'random_state': 231};RandomForestClassifier(n_estimators=20, random_state=231)
KNeighborsClassifier;0.7917;0.7956;0.7917;0.7915;0.8681;0.8673;0.8681;0.8653;0.7667;0.781;0.7667;0.7665;0.9218;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 9, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=9, weights='distance')
DecisionTreeClassifier;0.8141;0.8222;0.8141;0.8152;0.8611;0.8642;0.8611;0.8622;0.7667;0.7878;0.7667;0.7665;0.9344;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 950};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=950)
KNeighborsClassifier;0.7933;0.7964;0.7933;0.7916;0.7569;0.755;0.7569;0.7548;0.7667;0.7783;0.7667;0.7655;0.9284;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 15, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=15, weights='distance')
DecisionTreeClassifier;0.8164;0.8284;0.8164;0.8185;0.8889;0.8909;0.8889;0.8895;0.7667;0.7938;0.7667;0.7652;0.9372;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 950};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=950)
DecisionTreeClassifier;0.8163;0.8246;0.8163;0.8185;0.8542;0.8537;0.8542;0.8537;0.7667;0.7938;0.7667;0.7652;0.9358;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 10, 'random_state': 168};DecisionTreeClassifier(max_depth=10, min_samples_leaf=10, random_state=168)
DecisionTreeClassifier;0.8326;0.8419;0.8326;0.8341;0.8542;0.8541;0.8542;0.8537;0.7667;0.7938;0.7667;0.7652;0.9413;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'max_depth': 10, 'min_samples_leaf': 5, 'random_state': 168};DecisionTreeClassifier(max_depth=10, min_samples_leaf=5, random_state=168)
KNeighborsClassifier;0.8194;0.8199;0.8194;0.8178;0.8125;0.8158;0.8125;0.8138;0.7667;0.777;0.7667;0.7648;0.9345;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
KNeighborsClassifier;0.8087;0.8104;0.8087;0.8082;0.7639;0.7703;0.7639;0.7642;0.7667;0.7781;0.7667;0.7623;0.9281;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 7, 'weights': 'distance'};KNeighborsClassifier(n_neighbors=7, weights='distance')
KNeighborsClassifier;0.8071;0.8113;0.8071;0.8066;0.8333;0.845;0.8333;0.8353;0.75;0.7747;0.75;0.753;0.9252;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'metric': 'minkowski', 'n_neighbors': 5, 'weights': 'distance'};KNeighborsClassifier(weights='distance')
RandomForestClassifier;0.8218;0.8275;0.8218;0.8232;0.8264;0.8375;0.8264;0.8294;0.75;0.7754;0.75;0.752;0.9477;smote;500;no_scaled;['storyPoints', 'polarity', 'O', 'C', 'E', 'A', 'N'];10;{'n_estimators': 10, 'random_state': 327};RandomForestClassifier(n_estimators=10, random_state=327)
